;text;toxicity_score;perspective_label;gpt_label;toxic
0;Voltou mesmo esta todo mundo sabendo que ha fraude nas eleicoes;0.800372;1;0;0
1;mds o mecanismo dos bots bolsonaristas. aparecem 2 bots ao msm tempo numa conversa n relacionada, um denunciando fraude nas eleicoes e outro supostamente de esquerda. o bot lulista admite que não sabe pq ta defendendo o lula e concorda q o bolsonarista ta certo. mt bizarro kkk;0.038852096;0;1;0
2;Como e que e? Estao chamando cidadaos trabalhadores, honestos e honrados de radicais com intencoes golpistas??  Voces acham que tem algum envergadura moral para falar assim do povo brasileiro que quer transparencia nas eleicoes?  Tem que parar tudo mesmo!;0.032095943;0;1;0
3;Deve ser o bandido careca da STF. Afinal, gracas a essa quadrilha, o BANDIDO ganhou as eleicoes.;0.28004074;0;1;1
4;2 milhoes de votos para o Lula depois do encerramento das eleicoes! Isso pode?;0.9081573;1;0;0
5;Atos golpistas em frente a quarteis do exercito tem o envolvimento de politicos e de CRIMINOSOS.  A podridao veio a tona com as investigacoes da policia federal.  FFAA será que sabe disso?;0.16477858;0;1;0
6;Inacreditavel o que chamam de patriotismo!!! Baderna, terrorismo, agressão?;0.28004074;0;1;0
7;Porra esses bozolinos estao parecendo aqueles torcedores do time adversario que foi derrotado na bola, mas não aceitam a derrota e ficam inventado que o resultado da derrota do seu time foi injusto e que o juiz beneficiou o outro time. Chega de chororooo vcs perderam as eleicoes!;0.08244847;0;1;1
8;qual democracia??? a que so servem aos esquerdistas? esta mais que claro que as eleicoes foram manipuladas, temos os indicios, agora apresentem as provas que mostrem o contrario, ha e voces não as tem;0.08244847;0;1;0
9;aceita que o Brasil não TE QUER PORRA !! cansada dessas criancas birrentas que não aceitam o resultado das eleicoes;0.4028394;0;1;1
10;Era visto passou as eleicoes  agora  sobe tudo;0.8364919;1;0;0
11;Ontem alertei sobre o suposto pedido do PL para anulacao das eleicoes,  advertindo, inclusive, jornalistas renomados de que tal noticia era enganosa! Fui ate xingado de trouxa, por gente da propria direita!  Ai a noticia foi desmentida... ! Ninguem me pediu desculpas!;0.800372;1;0;1
12;So uma pergunta, as eleicoes sendo anuladas governadores reeleitos, deputados e senadores tambem serão anulados? Pergunto por causa desses merdas que estao tentando acabar com as manifestacoes pacificas e democráticas em frente aos quarteis e rasgando a CF como aquele outro faz.;0.54238683;0;1;1
13;Que vergonha em  so foi o bandido supostamente ganhar as eleicoes que voces comecaram a mudar o discurso. VERGONHOSO;0.19030407;0;1;0
14;Resultado das eleicoes, PSDB dizimado, NOVO perdeu identidade, MDB rachado de um lado Temer com os golpistas e do outro aliancas com Governo PT, em SP a Milicia vai precisar acomodar toda sua gangue.;0.71887034;0;1;0
15;O Jornal da Jovem Pan????  Jornal tao serio!!!! Acabei de ler que o Presidente do PL não vai pedir anulacao das eleicoes coisa nenhuma;0.18311511;0;1;0
16;não, ditadura seria se outro ganhasse as eleicoes. Com os militares tomando conta de tudo e os direitos dos trabalhadores sendo cada vez mais tirados. não estamos vivendo em uma ditadura. Ok, e vamos parar de mi-mi-mi ta ok;0.853975;1;0;0
17;Se tivessem novas eleicoes bozo ia perder de lavada.;0.055042017;0;1;1
18;Sim, nossas eleicoes foram fraudadas, e nos estamos na rua por não aceitar isso. Brasil was stolen.;0.8674699;1;0;0
19;PARABENS PL PEDIU ANULACAO DAS ELEICOES.;0.8178383;1;0;0
20;E logico que eles já sabiam de tudo. Essas eleicoes serão canceladas.;0.22084792;0;1;0
21;"Eu não consigo ouvir esse moleque, usou o programa na epoca da eleicoes se fingindo de critico de ambos os lados para conseguir ser acompanhado, eu disse em casa que ele era o ""cavalo de troia"" petista.";0.18451616;0;1;1
22;As analises dos votos mostram que a anomalia foi por volta de 5%, pode ter tido tambem mas não chegou a alterar o resultado, como aconteceu em 2018. Foram muito mais votos que a anomalia. Por mim, e acho que para muitos, anularia tudo e faria novas eleicoes auditaveis.;0.86052006;1;0;0
23;Caramba! Tornem tudo transparente se nada devem! Deixem o exercito auditar! não confiamos no TSE. Uma vergonha a conducao do processo eleitoral! Somos a Republiqueta das Bananas mesmo! Eleicoes roubadas!;0.67148936;0;1;1
24;Esse Leo e um moleque petralha dos infernos ! Comemora a atuacao do vagabundo do Janones nas eleicoes, diz ser esse traste um cara engracado demais. Pacaba.;0.18078586;0;1;1
25;Porque o povo de Lula não procura saber de politica depois que acaba as eleicoes??? Eles precisam ve a merda que eles fizeram... E sempre assim, quem mais leva o Brasil nas costas tem que pagar pelas escolhas erradas daqueles que menos se interessam pelos problemas do Brasil!!;0.1151762;0;1;1
26;Cara o pedido de anulacao das eleicoes será feito a quem ? STF ou TSE? Eles cagam na nossa cabeca...;0.6820657;0;1;1
27;A unica realidade que as pessoas precisam saber e que voce foi descondenado embora seja um quadrilheiro, para que as nossas eleicoes fossem fraudadas!;0.886899;1;0;0
28;Quem dara a noticia no Brasil? ELEICOES NO BRASIL FORAM ANULADAS POR FALTA DE TRANSPARENCIA.;0.86052006;1;0;0
29;...ou: ELEICOES não SE GANHA, SE TOMA!!! E um totalmente canalha!!!;0.6938776;0;1;1
30;BORA USA-LOS PRA EXPULSAR ESSES COMUNISTAS DOS INFERNOS DAQUI DO BRASIL?  ELEICOES 2021 NA ALEMANHA ACABARAM DE SER ANULADAS POR FRAUDE ELEITORAL !      CHEGAO ACO NO TOBA DO LULA!  LA  A JUSTICA AINDA FUNCIONA;0.08244847;0;1;1
31;Acredito que seria importantissimo acrescentar eleicoes para todos os juizes de todas as instancias do judicioário (talvez ate do MP), alem de recall de seus mandatos e ate das suas decisoes;0.8223625;1;0;0
32;ue ate semané passada tava me tratando mal por causa das eleicoes e hoje ta querendo que eu leve meu brownie pra ela KKKKKKKKKKKKKKKK sonha querida;0.800372;1;0;0
33;Pessoas estao se agredindo nas ruas seu canalha, e voces dando pilha. As eleicoes acabaram seu pai perdeu. Seja homem não um rato de esgoto escondido nos USA, que usa estes loucos como massa de manobra.;0.054637656;0;1;1
